Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,14.359500,14.689200,14.187255,14.345407,14.345407,0
2023-01-01,14.345407,14.459234,13.888400,14.023300,14.023300,0
2023-02-01,14.156700,14.323734,13.448200,13.537600,13.537600,0
2023-03-01,13.410900,14.009852,12.966496,13.377470,13.377470,0
2023-04-01,13.376476,13.649000,13.137405,13.173778,13.173778,0
2023-05-01,13.275900,13.390200,12.873009,12.981512,12.981512,0
2023-06-01,13.037008,13.099200,12.817947,12.909728,12.909728,0
2023-07-01,12.921900,13.011700,12.552021,12.587200,12.587200,0
2023-08-01,12.697639,13.031867,12.272746,12.379859,12.379859,0
2023-09-01,12.581400,13.131234,12.534228,12.999600,12.999600,0
2023-10-01,12.997100,13.473800,12.792622,13.058900,13.058900,0
2023-11-01,13.011000,13.020137,12.425439,12.724300,12.724300,0
2023-12-01,12.826300,12.954700,0.030371,12.811246,12.811246,0
2024-01-01,12.799445,12.882600,12.547461,12.798000,12.798000,0
2024-02-01,12.817400,12.838800,12.545450,12.592900,12.592900,0
2024-03-01,12.563500,12.570800,12.153917,12.298013,12.298013,0
2024-04-01,12.233985,12.272000,12.049900,12.224884,12.224884,0
2024-04-06,12.247900,12.253500,12.055700,12.115000,12.115000,0
